year,country,city,city_avg_temp,global_avg_temp,
1843,Saudi Arabia,Mecca,25.16,8.17,
1844,Saudi Arabia,Mecca,19.05,7.65,
1845,Saudi Arabia,Mecca,22.46,7.85,
1861,Saudi Arabia,Mecca,23.98,7.85,
1862,Saudi Arabia,Mecca,24.13,7.56,
1863,Saudi Arabia,Mecca,22.87,8.11,
1864,Saudi Arabia,Mecca,25.43,7.98,
1865,Saudi Arabia,Mecca,25.6,8.18,
1866,Saudi Arabia,Mecca,25.42,8.29,
1867,Saudi Arabia,Mecca,25.62,8.44,
1868,Saudi Arabia,Mecca,25.3,8.25,
1869,Saudi Arabia,Mecca,25.65,8.43,
1870,Saudi Arabia,Mecca,25.35,8.2,
1871,Saudi Arabia,Mecca,24.97,8.12,
1872,Saudi Arabia,Mecca,25.2,8.19,
1873,Saudi Arabia,Mecca,25.57,8.35,
1874,Saudi Arabia,Mecca,25.32,8.43,
1875,Saudi Arabia,Mecca,24.53,7.86,
1876,Saudi Arabia,Mecca,25.13,8.08,
1877,Saudi Arabia,Mecca,25.81,8.54,
1878,Saudi Arabia,Mecca,25.94,8.83,
1879,Saudi Arabia,Mecca,25.57,8.17,
1880,Saudi Arabia,Mecca,25.42,8.12,
1881,Saudi Arabia,Mecca,26.06,8.27,
1882,Saudi Arabia,Mecca,25.09,8.13,
1883,Saudi Arabia,Mecca,25.36,7.98,
1884,Saudi Arabia,Mecca,25.03,7.77,
1885,Saudi Arabia,Mecca,25.33,7.92,
1886,Saudi Arabia,Mecca,25.13,7.95,
1887,Saudi Arabia,Mecca,25.08,7.91,
1888,Saudi Arabia,Mecca,25.21,8.09,
1889,Saudi Arabia,Mecca,25.88,8.32,
1890,Saudi Arabia,Mecca,25.79,7.97,
1891,Saudi Arabia,Mecca,25.88,8.02,
1892,Saudi Arabia,Mecca,25.39,8.07,
1893,Saudi Arabia,Mecca,25.42,8.06,
1894,Saudi Arabia,Mecca,25,8.16,
1895,Saudi Arabia,Mecca,24.96,8.15,
1896,Saudi Arabia,Mecca,25.24,8.21,
1897,Saudi Arabia,Mecca,25.27,8.29,
1898,Saudi Arabia,Mecca,25.59,8.18,
1899,Saudi Arabia,Mecca,25.57,8.4,
